256 256*256 batch_size = 4, 0.4均分  1e-6
256 256*256 batch_size = 4, 0.4均分  1e-6
train [82/100] loss 0.0251, acc 0.9936, best_epoch 40

test [83/100] loss: 0.100, acc 0.9356, best_acc 0.9707

train [83/100] loss 0.0239, acc 0.9942, best_epoch 40

test [84/100] loss: 0.096, acc 0.9278, best_acc 0.9707

train [84/100] loss 0.0265, acc 0.9907, best_epoch 40

test [85/100] loss: 0.106, acc 0.9510, best_acc 0.9707

train [85/100] loss 0.0217, acc 0.9980, best_epoch 40

test [86/100] loss: 0.087, acc 0.9505, best_acc 0.9707

train [86/100] loss 0.0260, acc 0.9939, best_epoch 40

test [87/100] loss: 0.104, acc 0.9501, best_acc 0.9707

train [87/100] loss 0.0250, acc 0.9930, best_epoch 40

test [88/100] loss: 0.100, acc 0.9588, best_acc 0.9707

train [88/100] loss 0.0239, acc 0.9947, best_epoch 40

test [89/100] loss: 0.096, acc 0.9571, best_acc 0.9707

train [89/100] loss 0.0224, acc 0.9974, best_epoch 40

test [90/100] loss: 0.090, acc 0.9549, best_acc 0.9707

train [90/100] loss 0.0256, acc 0.9921, best_epoch 40

test [91/100] loss: 0.103, acc 0.9501, best_acc 0.9707

train [91/100] loss 0.0241, acc 0.9953, best_epoch 40

test [92/100] loss: 0.097, acc 0.9453, best_acc 0.9707

train [92/100] loss 0.0248, acc 0.9950, best_epoch 40

test [93/100] loss: 0.099, acc 0.9540, best_acc 0.9707

train [93/100] loss 0.0250, acc 0.9936, best_epoch 40

test [94/100] loss: 0.100, acc 0.9461, best_acc 0.9707

train [94/100] loss 0.0239, acc 0.9933, best_epoch 40

test [95/100] loss: 0.096, acc 0.9488, best_acc 0.9707

train [95/100] loss 0.0279, acc 0.9898, best_epoch 40

test [96/100] loss: 0.112, acc 0.9387, best_acc 0.9707

train [96/100] loss 0.0251, acc 0.9933, best_epoch 40

test [97/100] loss: 0.100, acc 0.9343, best_acc 0.9707

train [97/100] loss 0.0253, acc 0.9947, best_epoch 40

test [98/100] loss: 0.101, acc 0.9505, best_acc 0.9707

train [98/100] loss 0.0225, acc 0.9974, best_epoch 40

test [99/100] loss: 0.090, acc 0.9457, best_acc 0.9707

train [99/100] loss 0.0239, acc 0.9953, best_epoch 40

test [100/100] loss: 0.096, acc 0.9457, best_acc 0.9707

